State,Season,Crop,Temperature,Rainfall,Area,Yield
2,2,1,26.7608333333333,241.5,58393,201806
2,1,1,29.3941666666667,824.61,257900,699400
2,2,1,25.9783333333333,271.042,116300,393500
2,1,1,29.5125,831.25,280800,759900
2,2,1,26.6205,85.57,134500,491200
2,1,1,28.7536666666667,592.9,278415,834490
2,2,1,26.3013333333333,11.09,127888,457596
2,1,1,28.7226666666667,1038.76,281343,868787
2,2,1,26.2951666666667,60.47,112917,408308
2,1,1,29.1538333333333,796.67,245114,714507
2,2,1,26.4146666666667,95.4,98472,358635
2,1,1,29.4455,616.57,243910,761243
2,2,1,26.4505,91.57,2185,5688
2,1,1,28.7231666666667,851.8,245306,804849
2,2,1,26.2636666666667,35.1,10017,31584
2,1,1,29.2271666666667,1123,254919,697203
2,2,1,26.2478333333333,36.5,104332,409399
2,1,1,29.1621666666667,1039.8,251433,521221
2,2,1,26.222,227.5,94862,355638
2,1,1,29.112,949.1,261000,944000
2,2,1,26.3211666666667,30.8,94000,355000
2,1,1,29.0945,979,273878,959395
2,2,1,26.1485,324.9,120655,467900
2,1,1,29.6225,639.8,228196,784310
2,2,1,26.8253333333333,112.65,108442,424984
2,1,1,29.0765,726.5,260350,722978
2,2,1,26.7608333333333,325.6,94991,367710
2,1,1,29.3348545,865.5,262826,980105
2,2,1,26.459865,356.5,9203,31437
2,1,1,29.86523135,986.5,253166,908360
2,2,1,26.26564,452.12,11365,42244
2,1,1,29.5741636,986.56,264371,773285
2,2,1,25.8984531118,356.85,98951,402236
2,1,1,29.3941666666667,440.84,66300,176900
2,2,1,25.9783333333333,183.27,9000,23900
2,1,1,29.5125,647.54,75100,221700
2,2,1,26.6205,49.212,20900,44500
2,1,1,28.7536666666667,451.305,81640,225431
2,2,1,26.3013333333333,34.053,12430,35695
2,1,1,28.7226666666667,589.05,93188,307427
2,2,1,26.2951666666667,36.775,13909,38083
2,1,1,29.1538333333333,454,43617,121779
2,2,1,26.4146666666667,54.86,38162,98534
2,1,1,29.4455,433.8,47948,100499
2,2,1,26.4505,23.37,10974,24856
2,1,1,29.5423333333333,578.65,34618,100635
2,2,1,26.5233333333333,45.26,4966,11377
2,1,1,28.7231666666667,575.3,61465,210702
2,2,1,26.2636666666667,68.2,12058,37549
2,1,1,29.2271666666667,791.3,88555,292586
2,2,1,26.2478333333333,46.9,20079,65980
2,1,1,29.1621666666667,507.2,80692,270238
2,2,1,26.222,93.6,12475,36764
2,1,1,29.112,1042.3,90000,332000
2,2,1,26.3211666666667,39.39,19000,51000
2,1,1,29.0945,533.9,84066,279856
2,2,1,26.1485,134.5,27383,97073
2,1,1,29.6225,652.36,81908,256454
2,2,1,26.8253333333333,125.45,44772,157911
2,1,1,29.0765,567.25,104110,291475
2,2,1,26.7608333333333,65.23,32967,105626
2,1,1,28.9465648465313,574.26,91984,333882
2,2,1,26.22689654686,78.23,14738,46042
2,1,1,29.3941666666667,477,62000,124300
2,2,1,25.9783333333333,332.1,74200,222100
2,1,1,29.5125,650.75,72100,206700
2,2,1,26.6205,100,73800,248900
2,1,1,28.7536666666667,496.82,70189,190583
2,2,1,26.3013333333333,40.91,54885,129541
2,1,1,28.7226666666667,665.201,50601,156559
2,2,1,26.2951666666667,64.32,96893,316840
2,1,1,29.1538333333333,620.03,40841,134204
2,2,1,26.4146666666667,94.337,106540,385888
2,1,1,29.4455,528.76,19256,46927
2,2,1,26.4505,87.288,46223,104325
2,1,1,29.5423333333333,686.35,14621,41992
2,2,1,26.5233333333333,95.36,31497,79278
2,1,1,28.7231666666667,633.6,27435,95446
2,2,1,26.2636666666667,124.2,66134,220491
2,1,1,29.2271666666667,842.3,54390,144351
2,2,1,26.2478333333333,86.5,95020,340932
2,1,1,29.1621666666667,576.2,41191,124809
2,2,1,26.222,292.8,79875,297215
2,1,1,29.112,841.1,47000,173000
2,2,1,26.3211666666667,58.7,80000,287000
2,1,1,29.0945,408.8,47434,167774
2,2,1,26.1485,528.9,83957,314503
2,1,1,29.6225,569.65,32959,117730
2,2,1,26.8253333333333,125.56,96240,371390
2,1,1,29.3941666666667,690.17,185700,278500
2,2,1,25.9783333333333,200,600,2100
2,1,1,29.5125,1060,194400,370700
2,2,1,26.6205,242.89,2000,7500
2,1,1,28.7536666666667,772.86,189027,323525
2,2,1,26.3013333333333,19.69,1703,5867
2,1,1,28.7226666666667,788.86,207461,399155
2,2,1,26.2951666666667,54.59,1100,2012
2,1,1,29.1538333333333,813.6,178771,393654
2,2,1,26.4146666666667,126.591,1584,3594
2,1,1,29.4455,584,153148,267550
2,2,1,26.4505,160.52,632,1602
2,1,1,29.5423333333333,795.65,188219,421799
2,2,1,26.5233333333333,152.36,2204,4496
2,1,1,28.7231666666667,936.3,190795,448561
2,2,1,26.2636666666667,106.5,2198,5743
2,1,1,29.2271666666667,1021.3,153521,271425
2,2,1,26.2478333333333,134.2,4237,10105
2,1,1,29.1621666666667,1260,193994,491775
2,2,1,26.222,98.6,3425,7223
2,1,1,29.112,1196.8,201000,613000
2,2,1,26.3211666666667,162.8,2000,6000
2,1,1,29.0945,851.1,203172,408376
2,2,1,26.1485,196.2,2667,6190
2,1,1,29.6225,956.36,177058,371822
2,2,1,26.8253333333333,156.65,2708,6407
2,1,1,29.0765,897.64,205853,167482
2,2,1,26.7608333333333,152.5,7098,16822
2,1,1,29.15654687465,1023.5,208239,399240
2,2,1,26.1526468461,196.65,2178,4593
2,1,1,29.6598486465,986.56,205859,520823
2,2,1,26.1849846548485,165.2,2884,7870
2,1,1,29.3941666666667,825.89,95600,79700
2,2,1,25.9783333333333,280.71,2700,8700
2,1,1,29.5125,1124.41,114900,141300
2,2,1,26.6205,269.78,3800,14100
2,1,1,28.7536666666667,868.91,103372,134010
2,2,1,26.3013333333333,164.544,3053,10836
2,1,1,28.7226666666667,1109.4,115239,183345
2,2,1,26.2951666666667,158.245,2969,6683
2,1,1,29.1538333333333,910.73,86579,145020
2,2,1,26.4146666666667,168.23,3744,7589
2,1,1,29.4455,701.98,61964,61344
2,2,1,26.4505,140.56,2028,3121
2,1,1,29.5423333333333,856.65,84676,136836
2,2,1,26.5233333333333,196.56,3961,7811
2,1,1,28.7231666666667,857,95187,160771
2,2,1,26.2636666666667,132.7,2621,3701
2,1,1,29.2271666666667,1330.7,84808,125007
2,2,1,26.2478333333333,159.7,3821,7073
2,1,1,29.1621666666667,1117.8,93133,178070
2,2,1,26.222,162,2614,5301
2,1,1,29.112,1105.3,96000,195000
2,2,1,26.3211666666667,215.636,3000,6000
2,1,1,29.0945,676.5,99378,167253
2,2,1,26.1485,231.3,2679,5090
2,1,1,29.6225,758.65,65447,69112
2,2,1,26.8253333333333,256.65,2974,4509
2,1,1,29.0765,896.56,110289,192378
