State,Season,Crop,Temperature,Rainfall,Area,Yield
2,2,2,25.9783333333333,221.447,300,200
2,2,2,26.6205,90.696,400,200
2,2,2,26.3013333333333,71.934,439,294
2,2,2,26.2951666666667,63.61,520,297
2,2,2,26.4146666666667,87.716,307,213
2,2,2,26.4505,28.019,362,333
2,2,2,26.2636666666667,64.1,393,88
2,2,2,26.2478333333333,93.6,297,175
2,2,2,26.222,140.1,190,50
2,2,2,26.1485,186.2,164,217
2,2,2,26.8253333333333,78.8,179,97
2,2,2,26.7608333333333,239.5,131,171
2,2,2,26.2951666666667,121.957,5,3
2,2,2,26.4505,110.24,5,7
2,2,2,26.7608333333333,241.5,43,56
2,2,2,25.9783333333333,183.279,600,300
2,2,2,26.6205,49.212,700,400
2,2,2,26.3013333333333,34.053,789,529
2,2,2,26.2951666666667,36.775,850,484
2,2,2,26.4146666666667,54.867,1264,876
2,2,2,26.4505,22.379,941,867
2,2,2,26.2636666666667,68.2,393,88
2,2,2,26.2478333333333,46.9,711,418
2,2,2,26.222,93.6,670,176
2,2,2,26.1485,174.8,747,405
2,2,2,26.8253333333333,74.1,550,251
2,2,2,26.7608333333333,82.5,563,808
2,2,2,26.4146666666667,94.337,15,10
2,2,2,26.4505,87.288,73,67
2,2,2,26.3013333333333,19.694,5,3
3,2,2,9.14833333333333,274.783,240,260
3,2,2,10.1333333333333,295.24,225,230
3,2,2,11.2591666666667,239.946,225,235
3,2,2,9.4925,299.994,225,235
3,2,2,10.1648333333333,219.612,200,220
3,2,2,10.275,313.691,200,320
3,2,2,10.0266666666667,594.3,210,401
3,2,2,10.2736666666667,882.4,160,240
3,2,2,10.6206666666667,510.2,170,283
3,2,2,10.172,347.4,268,482
3,2,2,9.96833333333333,66.8,274,548
3,2,2,10.9466666666667,200.8,285,576
3,2,2,10.5391666666667,367.4,280,574
3,2,2,9.14833333333333,257.64,196,294
3,2,2,10.1333333333333,290.247,100,140
3,2,2,11.2591666666667,250.278,131,350
3,2,2,9.4925,350.065,170,250
3,2,2,10.1648333333333,227.886,15,25
3,2,2,9.14833333333333,290.297,19,81
3,2,2,10.1333333333333,270.853,5,6
3,2,2,11.2591666666667,146.758,15,19
3,2,2,9.4925,211.546,12,17
3,2,2,10.1648333333333,219.891,470,795
3,2,2,10.275,380.571,16,28
3,2,2,10.0266666666667,483.9,20,32
3,2,2,10.2736666666667,559.2,23,46
3,2,2,10.6206666666667,378.3,23,47
3,2,2,10.172,197.9,25,52
3,2,2,9.96833333333333,227.8,27,56
