State,Season,Crop,Rainfall,Temperature,Area,Yield
Andhra Pradesh,Rabi       ,Rice,41.2,26.2636666666667,162903,766296
Andhra Pradesh,Kharif     ,Rice,1332,29.2271666666667,217411,348727
Andhra Pradesh,Rabi       ,Rice,95.8,26.2478333333333,170012,800927
Andhra Pradesh,Kharif     ,Rice,1068.3,29.1621666666667,227930,547716
Andhra Pradesh,Rabi       ,Rice,115.7,26.222,168963,845829
Andhra Pradesh,Kharif     ,Rice,1110.2,29.112,242000,715000
Andhra Pradesh,Rabi       ,Rice,37.5,26.3211666666667,169000,803000
Andhra Pradesh,Kharif     ,Rice,893.7,29.0945,240231,716609
Andhra Pradesh,Rabi       ,Rice,229.7,26.1485,169861,796648
Andhra Pradesh,Kharif     ,Rice,544,29.6225,202153,616567
Andhra Pradesh,Rabi       ,Rice,63.4,26.8253333333333,104423,456537
Andhra Pradesh,Kharif     ,Rice,1353.7,29.0765,237640,457704
Andhra Pradesh,Rabi       ,Rice,555.1,26.7608333333333,172888,849917
Andhra Pradesh,Kharif     ,Rice,621.74,29.3941666666667,295000,845300
Andhra Pradesh,Rabi       ,Rice,304.721,25.9783333333333,14500,51800
Andhra Pradesh,Kharif     ,Rice,742.95,29.5125,298400,921400
Andhra Pradesh,Rabi       ,Rice,84.58,26.6205,29100,99900
Andhra Pradesh,Kharif     ,Rice,525.39,28.7536666666667,302886,969414
Andhra Pradesh,Rabi       ,Rice,21.65,26.3013333333333,14822,53167
Andhra Pradesh,Kharif     ,Rice,807.31,28.7226666666667,292899,987363
Andhra Pradesh,Rabi       ,Rice,63.32,26.2951666666667,12692,49600
Andhra Pradesh,Kharif     ,Rice,698.57,29.1538333333333,272468,935110
Andhra Pradesh,Rabi       ,Rice,94.25,26.4146666666667,44917,181060
Andhra Pradesh,Kharif     ,Rice,565.79,29.4455,202953,646811
Andhra Pradesh,Rabi       ,Rice,93.16,26.4505,2716,7385
Andhra Pradesh,Kharif     ,Rice,720.5,28.7231666666667,240404,833961
Andhra Pradesh,Rabi       ,Rice,39,26.2636666666667,21247,70922
Andhra Pradesh,Kharif     ,Rice,913,29.2271666666667,288879,892636
Andhra Pradesh,Rabi       ,Rice,39.7,26.2478333333333,31434,111559
Andhra Pradesh,Kharif     ,Rice,668.4,29.1621666666667,288638,783941
Andhra Pradesh,Rabi       ,Rice,184.2,26.222,28933,100947
Andhra Pradesh,Kharif     ,Rice,939.6,29.112,283000,976000
Andhra Pradesh,Rabi       ,Rice,69,26.3211666666667,24000,85000
Andhra Pradesh,Kharif     ,Rice,691.8,29.0945,281491,959321
Andhra Pradesh,Rabi       ,Rice,272.4,26.1485,51358,187662
Andhra Pradesh,Kharif     ,Rice,549.6,29.6225,190526,683226
Andhra Pradesh,Rabi       ,Rice,94,26.8253333333333,112342,383423
Andhra Pradesh,Kharif     ,Rice,1243.6,29.0765,271072,649760
Andhra Pradesh,Rabi       ,Rice,241.5,26.7608333333333,58393,201806
Andhra Pradesh,Kharif     ,Rice,824.61,29.3941666666667,257900,699400
Andhra Pradesh,Rabi       ,Rice,271.042,25.9783333333333,116300,393500
Andhra Pradesh,Kharif     ,Rice,831.25,29.5125,280800,759900
Andhra Pradesh,Rabi       ,Rice,85.57,26.6205,134500,491200
Andhra Pradesh,Kharif     ,Rice,592.9,28.7536666666667,278415,834490
Andhra Pradesh,Rabi       ,Rice,11.09,26.3013333333333,127888,457596
Andhra Pradesh,Kharif     ,Rice,1038.76,28.7226666666667,281343,868787
Andhra Pradesh,Rabi       ,Rice,60.47,26.2951666666667,112917,408308
Andhra Pradesh,Kharif     ,Rice,796.67,29.1538333333333,245114,714507
Andhra Pradesh,Rabi       ,Rice,95.4,26.4146666666667,98472,358635
Andhra Pradesh,Kharif     ,Rice,616.57,29.4455,243910,761243
Andhra Pradesh,Rabi       ,Rice,91.57,26.4505,2185,5688
Andhra Pradesh,Kharif     ,Rice,851.8,28.7231666666667,245306,804849
Andhra Pradesh,Rabi       ,Rice,35.1,26.2636666666667,10017,31584
Andhra Pradesh,Kharif     ,Rice,1123,29.2271666666667,254919,697203
Andhra Pradesh,Rabi       ,Rice,36.5,26.2478333333333,104332,409399
Andhra Pradesh,Kharif     ,Rice,1039.8,29.1621666666667,251433,521221
Andhra Pradesh,Rabi       ,Rice,227.5,26.222,94862,355638
Andhra Pradesh,Kharif     ,Rice,949.1,29.112,261000,944000
Andhra Pradesh,Rabi       ,Rice,30.8,26.3211666666667,94000,355000
Andhra Pradesh,Kharif     ,Rice,979,29.0945,273878,959395
Andhra Pradesh,Rabi       ,Rice,324.9,26.1485,120655,467900
Andhra Pradesh,Kharif     ,Rice,639.8,29.6225,228196,784310
Andhra Pradesh,Rabi       ,Rice,112.65,26.8253333333333,108442,424984
Andhra Pradesh,Kharif     ,Rice,726.5,29.0765,260350,722978
Andhra Pradesh,Rabi       ,Rice,325.6,26.7608333333333,94991,367710
Andhra Pradesh,Kharif     ,Rice,865.5,29.3348545,262826,980105
Andhra Pradesh,Rabi       ,Rice,356.5,26.459865,9203,31437
Andhra Pradesh,Kharif     ,Rice,986.5,29.86523135,253166,908360
Andhra Pradesh,Rabi       ,Rice,452.12,26.26564,11365,42244
Andhra Pradesh,Kharif     ,Rice,986.56,29.5741636,264371,773285
Andhra Pradesh,Rabi       ,Rice,356.85,25.8984531118,98951,402236
Andhra Pradesh,Kharif     ,Rice,440.84,29.3941666666667,66300,176900
Andhra Pradesh,Rabi       ,Rice,183.27,25.9783333333333,9000,23900
Andhra Pradesh,Kharif     ,Rice,647.54,29.5125,75100,221700
