State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Total,Kharif,Rabi
Arunachal Pradesh,East Kameng,2005,59.2,122.8,155.3,168.6,350.2,354.9,686.2,816.2,658.1,209,53.3,0,3633.8,3074.6,559.2
Arunachal Pradesh,East Kameng,2006,2.3,104,61.3,179.5,363.8,192.6,519.2,202.5,181.1,11.4,23.6,7.6,1848.9,1470.6,378.3
Arunachal Pradesh,East Kameng,2007,12.4,70,9.3,92.8,65.8,340.6,308,171,227.4,50,6.2,7.2,1360.7,1162.8,197.9
Arunachal Pradesh,East Kameng,2008,56,10,111.4,50.4,226,309.8,232.6,480.2,123.4,62.9,0,0,1662.7,1434.9,227.8
Arunachal Pradesh,East Kameng,2009,13.2,10,N.A.,N.A.,71,154.9,424.5,265.9,91.4,88.4,5.8,6.9,N.A.,1096.1,35.9
Arunachal Pradesh,East Kameng,2010,0,3,38.4,87.6,153.6,165.3,177.6,172.2,334.9,32.9,4.1,1,1170.6,1036.5,134.1
Arunachal Pradesh,East Siang,2004,24.2,33.4,311.8,265.3,544.5,652.8,2280.7,375.5,455.9,267.4,0,31.5,5243,4576.8,666.2
Arunachal Pradesh,East Siang,2005,71.2,245.3,297.9,331.3,205.4,579.9,840.1,915.5,543.4,244.4,22.6,0,4297,3328.7,968.3
Arunachal Pradesh,East Siang,2006,9.1,179.8,34,272.9,534.8,700.6,664.7,535.8,547.2,27.4,158.1,42.4,3706.8,3010.5,696.3
Arunachal Pradesh,East Siang,2007,13.7,94.1,94.6,555,398,899.4,1526.5,406,909,84,9.8,9.1,4999.2,4222.9,776.3
Arunachal Pradesh,East Siang,2008,243.3,73.2,188.6,281.3,203.5,703.7,1020.5,1032,232.9,108.8,5.7,4.4,4097.9,3301.4,796.5
Arunachal Pradesh,East Siang,2009,52.9,153.1,46.1,259.8,159.7,464.7,558.9,735.4,286.5,158.8,147.7,19.7,3043.3,2364,679.3
Arunachal Pradesh,East Siang,2010,0,40.6,306.6,623.5,495,1018.9,542.5,419.5,841.1,81.1,99.4,26.5,4494.7,3398.1,1096.6
Arunachal Pradesh,Lohit,2004,24.9,8.1,182.2,208.4,418.4,273.8,1145,290.3,376.1,212.9,1.2,45,3186.3,2716.5,469.8
